Stevenson (AA)	7	1	7	1	37	3	3	2	6	3	1	3	1	2	2	2	2	2	3	1	4	5	7	6	8	3	2	2	105	1
New Trier Winnetka (AA)	9	2	4	3	6	2	1	1	1	8	10	30	2	5	1	8	3	3	2	2	26	7	8	4	10	5	15	4	144	2
Hinsdale Central (AA)	24	8	9	15	9	7	9	9	9	4	6	12	3	1	5	1	6	39	7	10	2	23	3	15	9	1	9	7	221	3
Lyons Township (AA)	5	15	6	11	2	12	15	15	14	12	8	17	4	38	21	9	1	1	1	31	1	1	15	13	5	10	16	18	255	4
Neuqua Valley (AA)	29	13	15	48	18	1	8	19	12	2	3	1	6	7	12	10	4	5	13	22	16	35	5	17	49	49	7	1	304	5
Naperville Central (AA)	23	4	21	22	1	13	6	4	4	20	17	31	20	12	26	5	10	14	21	21	7	15	17	19	4	13	3	3	334	6
Waubonsie Valley (AA)	26	3	5	41	24	9	32	8	2	17	5	14	14	4	7	19	7	29	10	23	9	4	32	12	25	18	6	25	344	7
Crystal Lake Central (AA)	1	22	29	4	12	31	12	3	5	32	32	6	18	39	32	24	5	10	14	34	8	2	1	23	14	7	18	6	376	8
St. Charles East (AA)	37	18	26	9	17	35	17	5	22	6	21	35	8	10	10	3	38	8	42	7	3	40	11	18	49	17	29	49	428	9
Metea Valley (AA)	4	23	2	16	33	20	13	18	29	11	4	37	38	11	3	20	15	42	31	36	5	26	2	2	18	20	23	9	439	10
Naperville North (AA)	13	31	22	7	14	23	7	27	7	24	16	26	19	17	27	13	13	33	29	14	12	3	44	49	49	49	49	49	441	11
Libertyville (AA)	27	10	30	42	20	18	26	11	15	21	28	29	5	14	19	18	33	9	12	12	13	6	35	14	1	9	14	5	453	12
Loyola Academy (AA)	6	27	12	6	28	19	4	40	34	7	25	11	12	41	8	22	11	13	33	6	30	39	29	49	49	49	49	49	463	13
Glenbrook South (A)	12	44	1	27	35	46	2	13	16	14	24	15	32	18	6	4	22	35	15	38	15	11	22	11	23	26	5	21	467	14
Niles West (AA)	32	35	17	13	19	11	27	10	37	29	14	27	13	16	18	39	20	7	5	15	28	25	14	32	3	24	27	16	471	15
Palatine (AA)	8	26	8	32	23	15	35	12	19	37	29	16	11	34	11	14	18	36	24	3	35	20	12	16	26	4	20	8	478	16
Whitney Young HS (A)	19	5	13	37	29	8	14	21	31	19	39	7	10	6	31	7	27	38	6	28	23	41	23	3	12	8	24	24	482	17
University of Chicago Lab (AA)	20	19	16	46	38	25	16	16	26	9	7	19	28	3	14	25	36	21	27	4	24	32	38	28	11	11	19	19	509	18
Grayslake Central (AA)	22	9	36	47	8	5	23	24	38	35	2	18	9	35	23	11	25	18	28	41	32	13	26	49	29	49	49	49	528	19
IMSA (AA)	40	11	3	45	7	14	18	42	3	33	30	10	25	23	25	6	23	30	38	30	22	36	34	49	49	49	49	49	548	20
Willowbrook (A)	42	37	25	29	31	30	10	29	11	1	26	21	17	29	13	32	45	11	17	48	10	27	13	26	15	23	34	11	554	21
Huntley (AA)	31	12	34	21	25	10	21	20	20	39	15	24	23	25	9	16	40	23	9	20	42	30	47	20	19	21	33	13	556	22
Hinsdale South (AA)	16	17	42	31	4	37	40	41	18	26	22	28	7	28	24	26	8	37	36	5	20	38	9	9	17	19	25	49	560	23
Niles North (AA)	2	6	18	30	5	22	20	44	10	47	19	32	42	24	42	43	30	6	25	16	19	37	30	27	49	27	28	17	569	24
Walter Payton (AA)	35	29	28	8	26	40	25	7	13	16	35	25	29	37	16	42	14	28	23	42	27	17	20	31	2	2	13	12	582	25
Addison Trail (A)	21	40	38	5	45	16	38	46	21	13	12	9	15	40	17	23	31	34	11	33	43	10	21	33	16	49	26	22	582	26
New Trier Northfield (AA)	33	43	14	14	39	42	41	30	28	5	20	45	22	9	4	21	12	49	8	35	11	43	18	49	49	49	11	49	586	27
University Laboratory High School (A)	44	16	24	38	36	6	11	17	30	18	9	8	30	21	22	36	41	25	20	26	31	42	42	49	49	49	49	49	593	28
Jacobs (A)	17	32	39	19	34	21	30	23	24	10	37	2	33	15	28	27	19	19	39	43	34	9	40	49	49	49	49	49	594	29
Cary Grove (AA)	41	46	23	2	40	28	5	26	45	25	33	22	16	26	20	35	16	31	45	8	6	46	10	7	13	12	21	10	595	30
Harlem (A)	14	20	33	26	16	33	37	28	43	23	43	42	27	20	40	29	32	27	4	13	17	12	36	25	49	49	31	49	615	31
Mahomet Seymour (A)	3	38	32	34	13	29	22	43	8	38	41	23	26	31	15	47	26	20	34	11	21	44	24	49	49	49	49	49	623	32
Belvidere North (A)	15	21	27	35	11	36	33	38	32	48	38	13	35	22	46	41	21	15	22	18	29	14	45	49	28	49	49	49	655	33
Lane Tech HS (A)	43	28	46	17	10	32	34	32	39	28	48	4	39	19	37	15	24	4	41	40	44	8	39	8	27	22	30	23	671	34
Sacred Heart Griffin (A)	25	7	43	18	21	26	36	35	40	31	18	34	44	33	47	44	34	12	16	27	38	24	25	49	21	49	22	49	678	35
Rockford Auburn (A)	45	30	31	28	32	17	29	14	36	34	40	5	34	46	38	12	9	32	30	37	36	34	33	1	6	15	1	15	682	36
York (AA)	28	41	11	10	44	38	24	36	33	15	27	33	45	30	34	37	35	40	19	48	37	18	6	5	7	14	17	49	689	37
Centennial (A)	38	25	41	36	41	24	39	6	17	45	34	44	36	32	29	30	37	26	26	19	18	21	46	21	49	49	8	49	710	38
Northside College Prep (A)	11	34	19	33	49	4	49	49	25	22	44	41	40	8	39	31	43	49	18	49	33	19	19	49	49	49	49	49	728	39
St. Thomas More (A)	18	24	35	25	27	27	43	37	42	27	42	43	24	36	43	34	17	41	40	29	47	31	4	49	49	49	49	49	736	40
Farmington (A)	10	39	44	12	3	48	42	33	48	41	11	36	41	43	33	28	44	24	49	9	46	28	28	49	49	49	49	49	740	41
Mascoutah HS (A)	46	14	40	24	15	41	19	22	35	43	47	38	46	45	45	33	39	16	37	25	39	47	41	22	24	6	10	14	797	42
Champaign Central (A)	49	45	10	23	48	43	31	39	44	40	13	48	47	27	48	40	49	17	35	39	14	45	16	29	49	16	49	20	810	43
Belleville West (A)	36	48	48	43	30	47	46	25	27	36	45	20	21	42	30	45	46	49	32	24	45	22	37	24	20	49	32	26	844	44
Jones College Prep (A)	39	33	47	40	22	34	44	31	23	30	31	39	37	48	41	38	42	43	46	32	40	29	43	49	22	25	4	49	852	45
Collinsville (A)	34	42	20	39	49	44	45	48	41	44	46	47	31	47	35	46	29	22	44	17	41	16	27	49	49	49	49	49	854	46
Canton (A)	30	47	37	20	43	45	28	34	46	46	36	46	49	44	44	48	28	49	49	49	25	33	49	10	49	49	49	49	925	47
Streamwood (A)	49	36	45	44	42	39	47	45	47	42	23	40	43	13	36	17	49	49	43	48	48	49	31	30	49	49	12	49	925	48
